ITERATION      PRN     AZIMUTH      ELEV     CODE RESIDUAL(m) 
1              G06      30.85      78.05          -4.99  
1              G17      92.59      49.24         +29.40  
1              G30      15.74      41.15         -14.95  
1              G10      45.71      29.73         -11.91  
1              G23      20.37      22.24         -15.08  
1              G22     136.19      16.23          -4.61  
1              G26     126.53      14.20         +20.31  
1              G05     169.88      11.63          +1.83  
                                           
2              G06      30.89      78.03          -4.74  
2              G17      92.61      49.25         +29.33  
2              G30      15.73      41.16         -15.01  
2              G10      45.71      29.72         -12.25  
2              G23      20.36      22.24         -15.33  
2              G22     136.21      16.23          -4.43  
2              G26     126.51      14.20         +20.49  
2              G05     169.86      11.63          +1.95  
                                           
3              G06      30.89      78.03          -4.74  
3              G17      92.61      49.25         +29.33  
3              G30      15.73      41.16         -15.01  
3              G10      45.71      29.72         -12.25  
3              G23      20.36      22.24         -15.33  
3              G22     136.21      16.23          -4.43  
3              G26     126.51      14.20         +20.49  
3              G05     169.86      11.63          +1.95  
                                           
