ITERATION      PRN     AZIMUTH      ELEV     CODE RESIDUAL(m) 
1              G06      30.85      78.05          -0.19  
1              G30      15.74      41.15          +0.64  
1              G23      20.37      22.24          -0.83  
1              G22     136.19      16.23          +0.12  
1              G26     126.53      14.20          -0.13  
1              G05     169.88      11.63          +0.39  
                                           
2              G06      30.89      78.03          -0.18  
2              G30      15.73      41.16          +0.66  
2              G23      20.36      22.24          -0.95  
2              G22     136.21      16.23          +0.13  
2              G26     126.51      14.20          -0.20  
2              G05     169.86      11.63          +0.53  
                                           
3              G06      30.89      78.03          -0.18  
3              G30      15.73      41.16          +0.66  
3              G23      20.36      22.24          -0.95  
3              G22     136.21      16.23          +0.13  
3              G26     126.51      14.20          -0.20  
3              G05     169.86      11.63          +0.53  
                                           
