ITERATION      PRN     AZIMUTH      ELEV     CODE RESIDUAL(m) 
01              G06      30.85      78.05          -0.18  
01              G17      92.59      49.24          +0.10  
01              G30      15.74      41.15          +0.64  
01              G10      45.71      29.73          +0.26  
01              G23      20.37      22.24          -1.54  
                                           
02              G06      30.90      78.03          -0.09  
02              G17      92.61      49.25          +0.04  
02              G30      15.73      41.16          +0.69  
02              G10      45.71      29.72          +0.22  
02              G23      20.36      22.24          -1.33  
                                           
03              G06      30.90      78.03          -0.01  
03              G17      92.61      49.25          -0.07  
03              G30      15.73      41.16          +0.72  
03              G10      45.71      29.72          +0.06  
03              G23      20.36      22.24          -1.43  
                                           
04              G06      30.90      78.03          -0.10  
04              G17      92.61      49.25          -0.14  
04              G30      15.73      41.16          +0.78  
04              G10      45.71      29.72          +0.18  
04              G23      20.36      22.24          -1.16  
                                           
05              G06      30.90      78.03          -0.14  
05              G17      92.61      49.25          -0.64  
05              G30      15.73      41.16          +1.24  
05              G10      45.71      29.72          +0.31  
05              G23      20.36      22.24          -0.81  
                                           
06              G06      30.90      78.03          -0.10  
06              G17      92.61      49.25          -0.79  
06              G30      15.73      41.16          +1.46  
06              G10      45.71      29.72          +0.22  
06              G23      20.36      22.24          -0.91  
                                           
07              G06      30.90      78.03          -0.19  
07              G17      92.61      49.25          -0.15  
07              G30      15.73      41.16          +0.70  
07              G10      45.71      29.72          +0.74  
07              G23      20.36      22.24          -1.36  
                                           
08              G06      30.90      78.03          -0.19  
08              G17      92.61      49.25          -0.02  
08              G30      15.73      41.16          +0.65  
08              G10      45.71      29.72          +0.60  
08              G23      20.36      22.24          -1.42  
                                           
09              G06      30.90      78.03          -0.22  
09              G17      92.61      49.25          +0.00  
09              G30      15.73      41.16          +0.66  
09              G10      45.71      29.72          +0.60  
09              G23      20.36      22.24          -1.39  
                                           
10              G06      30.90      78.03          -0.21  
10              G17      92.61      49.25          +0.01  
10              G30      15.73      41.16          +0.68  
10              G10      45.71      29.72          +0.51  
10              G23      20.36      22.24          -1.37  
                                           
